Model,MSO56B
Channel,CH2,,Channel,CH3,,Channel,CH4,,Channel,CH5,,Channel,CH6
Label,,,Label,,,Label,,,Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10
Record Length,125000,,Record Length,125000,,Record Length,125000,,Record Length,125000,,Record Length,125000
Zero Index,18749.25000000,,Zero Index,18749.25000000,,Zero Index,18749.25000000,,Zero Index,18749.25000000,,Zero Index,18749.25000000
Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,A
,,,,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000
yPosition,-3.000000,,yPosition,-3.000000,,yPosition,-3.000000,,yPosition,-3.000000,,yPosition,-3.000000

Labels,,,,,
TIME,CH2,CH3,CH4,CH5,CH6
-5.97160000e-06,2.56250000e+00,1.00850000e+02,1.96625000e+01,1.83250000e+01,1.51312500e+00
-5.97128000e-06,2.28750000e+00,1.00750000e+02,1.96625000e+01,1.83375000e+01,1.51125000e+00
-5.97096000e-06,2.60000000e+00,1.00250000e+02,1.96000000e+01,1.82125000e+01,1.50968750e+00
-5.97064000e-06,2.18750000e+00,1.00750000e+02,1.95125000e+01,1.82375000e+01,1.50875000e+00
-5.97032000e-06,2.12500000e+00,1.00250000e+02,1.95875000e+01,1.82000000e+01,1.50812500e+00
-5.97000000e-06,2.67500000e+00,1.00850000e+02,1.96875000e+01,1.82625000e+01,1.50812500e+00
-5.96968000e-06,2.05000000e+00,1.00500000e+02,1.97125000e+01,1.82000000e+01,1.50875000e+00
-5.96936000e-06,2.80000000e+00,1.00700000e+02,1.96875000e+01,1.81875000e+01,1.51000000e+00
-5.96904000e-06,2.42500000e+00,1.00700000e+02,1.95375000e+01,1.83000000e+01,1.51125000e+00
-5.96872000e-06,2.02500000e+00,1.00850000e+02,1.96500000e+01,1.84250000e+01,1.51250000e+00
-5.96840000e-06,2.58750000e+00,1.00100000e+02,1.96625000e+01,1.82625000e+01,1.51343750e+00
-5.96808000e-06,2.63750000e+00,1.00150000e+02,1.97000000e+01,1.82375000e+01,1.51406250e+00
-5.96776000e-06,2.12500000e+00,1.00600000e+02,1.96375000e+01,1.82375000e+01,1.51406250e+00
-5.96744000e-06,2.37500000e+00,1.00500000e+02,1.96250000e+01,1.82375000e+01,1.51375000e+00
-5.96712000e-06,2.16250000e+00,1.00550000e+02,1.95875000e+01,1.80375000e+01,1.51281250e+00
-5.96680000e-06,2.13750000e+00,1.00500000e+02,1.95750000e+01,1.82250000e+01,1.51187500e+00
-5.96648000e-06,2.73750000e+00,1.00450000e+02,1.97375000e+01,1.83375000e+01,1.51093750e+00
-5.96616000e-06,2.42500000e+00,1.01000000e+02,1.96250000e+01,1.81625000e+01,1.50968750e+00
-5.96584000e-06,2.12500000e+00,1.00800000e+02,1.95750000e+01,1.81250000e+01,1.50906250e+00
