Model,MSO56B
Channel,CH2,,Channel,CH3,,Channel,CH4,,Channel,CH5,,Channel,CH6
Label,,,Label,,,Label,,,Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10
Record Length,1250,,Record Length,1250,,Record Length,1250,,Record Length,1250,,Record Length,1250
Zero Index,62.51562500,,Zero Index,62.51562500,,Zero Index,62.51562500,,Zero Index,62.51562500,,Zero Index,62.51562500
Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,A
,,,,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000
yPosition,-3.000000,,yPosition,-3.000000,,yPosition,-3.000000,,yPosition,-3.000000,,yPosition,4.000000

Labels,,,,,
TIME,CH2,CH3,CH4,CH5,CH6
1.77550000e-08,1.50960000e+02,1.50495000e+02,1.92500000e+01,1.75000000e+00,-1.22187500e-03
1.80750000e-08,1.50600000e+02,1.50855000e+02,1.91250000e+01,1.77187500e+00,-1.59375000e-03
1.83950000e-08,1.51200000e+02,1.51155000e+02,1.91875000e+01,1.75937500e+00,-2.00281250e-03
1.87150000e-08,1.51380000e+02,1.50615000e+02,1.92500000e+01,1.75000000e+00,-2.41187500e-03
1.90350000e-08,1.51320000e+02,1.49970000e+02,1.92000000e+01,1.86250000e+00,-2.73593750e-03
1.93550000e-08,1.51020000e+02,1.51035000e+02,1.92750000e+01,1.90000000e+00,-2.87937500e-03
1.96750000e-08,1.51500000e+02,1.50600000e+02,1.93500000e+01,1.81250000e+00,-2.80500000e-03
1.99950000e-08,1.50780000e+02,1.50555000e+02,1.94125000e+01,1.92500000e+00,-2.54468750e-03
2.03150000e-08,1.51080000e+02,1.50735000e+02,1.93875000e+01,1.93750000e+00,-2.15156250e-03
2.06350000e-08,1.50900000e+02,1.50915000e+02,1.91875000e+01,1.93750000e+00,-1.67875000e-03
2.09550000e-08,1.50900000e+02,1.50975000e+02,1.93625000e+01,1.93750000e+00,-1.20593750e-03
2.12750000e-08,1.50720000e+02,1.50915000e+02,1.93875000e+01,2.19375000e+00,-8.44687500e-04
2.15950000e-08,1.50840000e+02,1.50795000e+02,1.92625000e+01,2.10937500e+00,-6.58750000e-04
2.19150000e-08,1.51380000e+02,1.50675000e+02,1.92750000e+01,2.07500000e+00,-5.95000000e-04
2.22350000e-08,1.51260000e+02,1.50615000e+02,1.91875000e+01,1.99375000e+00,-5.36562500e-04
2.25550000e-08,1.51080000e+02,1.51095000e+02,1.91125000e+01,2.05937500e+00,-4.19687500e-04
2.28750000e-08,1.50900000e+02,1.51575000e+02,1.92375000e+01,2.00000000e+00,-3.02812500e-04
2.31950000e-08,1.50720000e+02,1.50720000e+02,1.93125000e+01,2.23125000e+00,-3.18750000e-04
2.35150000e-08,1.51080000e+02,1.51380000e+02,1.93000000e+01,2.28750000e+00,-4.83437500e-04
2.38350000e-08,1.50480000e+02,1.50930000e+02,1.91750000e+01,2.11875000e+00,-7.06562500e-04
2.41550000e-08,1.51380000e+02,1.50795000e+02,1.92875000e+01,2.32500000e+00,-8.50000000e-04
2.44750000e-08,1.51620000e+02,1.50675000e+02,1.92625000e+01,2.31562500e+00,-8.50000000e-04
2.47950000e-08,1.51260000e+02,1.51155000e+02,1.93500000e+01,2.15625000e+00,-7.33125000e-04
2.51150000e-08,1.50900000e+02,1.50855000e+02,1.92625000e+01,2.34062500e+00,-5.36562500e-04
2.54350000e-08,1.50420000e+02,1.50315000e+02,1.92625000e+01,2.20312500e+00,-2.92187500e-04
2.57550000e-08,1.50900000e+02,1.51155000e+02,1.93875000e+01,2.23750000e+00,-5.31250000e-05
2.60750000e-08,1.51020000e+02,1.51455000e+02,1.93750000e+01,2.17500000e+00,1.00937500e-04
2.63950000e-08,1.51080000e+02,1.50480000e+02,1.93375000e+01,2.37500000e+00,1.27500000e-04
2.67150000e-08,1.51080000e+02,1.50840000e+02,1.93000000e+01,2.47812500e+00,7.96875000e-05
2.70350000e-08,1.51380000e+02,1.50555000e+02,1.92250000e+01,2.28125000e+00,6.37500000e-05
2.73550000e-08,1.50900000e+02,1.50915000e+02,1.92500000e+01,2.43125000e+00,1.38125000e-04
2.76750000e-08,1.51020000e+02,1.51095000e+02,1.93250000e+01,2.55625000e+00,2.65625000e-04
2.79950000e-08,1.50900000e+02,1.50435000e+02,1.93750000e+01,2.51875000e+00,3.50625000e-04
2.83150000e-08,1.50600000e+02,1.50495000e+02,1.93250000e+01,2.45625000e+00,3.45312500e-04
2.86350000e-08,1.50900000e+02,1.50795000e+02,1.94250000e+01,2.46875000e+00,2.92187500e-04
2.89550000e-08,1.50660000e+02,1.51155000e+02,1.93500000e+01,2.54375000e+00,2.49687500e-04
2.92750000e-08,1.51260000e+02,1.50735000e+02,1.93250000e+01,2.48125000e+00,1.85937500e-04
2.95950000e-08,1.51020000e+02,1.51155000e+02,1.92500000e+01,2.58125000e+00,-1.06250000e-05
2.99150000e-08,1.51320000e+02,1.50855000e+02,1.93250000e+01,2.63125000e+00,-4.40937500e-04
