Model,MSO56B
Channel,CH2,,Channel,CH3,,Channel,CH4,,Channel,CH5
Label,,,Label,,,Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10
Record Length,12500,,Record Length,12500,,Record Length,12500,,Record Length,12500
Zero Index,1874.75000000,,Zero Index,1874.75000000,,Zero Index,1874.75000000,,Zero Index,1874.75000000
Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,A
,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000
yPosition,-3.000000,,yPosition,-3.000000,,yPosition,-3.000000,,yPosition,-3.000000

Labels,,,,
TIME,CH2,CH3,CH4,CH5
-5.50000000e-07,-7.50000000e-02,9.68437500e+00,-4.56250000e-02,-1.21875000e-01
-5.49680000e-07,1.12500000e-01,9.69687500e+00,-5.31250000e-02,-8.43750000e-02
-5.49360000e-07,2.12500000e-01,9.57187500e+00,-3.00000000e-02,3.04687500e-02
-5.49040000e-07,1.00000000e-01,9.65937500e+00,1.25000000e-03,-2.10937500e-02
-5.48720000e-07,1.50000000e-01,9.62187500e+00,-3.31250000e-02,-1.42968750e-01
-5.48400000e-07,3.37500000e-01,9.55937500e+00,-4.87500000e-02,-5.23437500e-02
-5.48080000e-07,8.75000000e-02,9.74687500e+00,-5.87500000e-02,4.53125000e-02
-5.47760000e-07,1.12500000e-01,9.57187500e+00,-1.87500000e-02,-4.45312500e-02
-5.47440000e-07,2.50000000e-02,9.49687500e+00,-1.50000000e-02,-1.05468750e-01
-5.47120000e-07,1.25000000e-01,9.67187500e+00,-1.50000000e-02,-6.87500000e-02
-5.46800000e-07,5.00000000e-02,9.70937500e+00,-3.37500000e-02,-6.95312500e-02
-5.46480000e-07,1.37500000e-01,9.60937500e+00,-2.12500000e-02,-7.81250000e-02
-5.46160000e-07,7.50000000e-02,9.57187500e+00,-6.87500000e-03,-6.95312500e-02
-5.45840000e-07,8.75000000e-02,9.62187500e+00,-4.37500000e-03,-4.45312500e-02
-5.45520000e-07,-3.75000000e-02,9.69687500e+00,-2.25000000e-02,-4.68750000e-02
-5.45200000e-07,1.50000000e-01,9.69687500e+00,-5.43750000e-02,-8.35937500e-02
-5.44880000e-07,8.75000000e-02,9.57187500e+00,-5.56250000e-02,-4.60937500e-02
-5.44560000e-07,1.62500000e-01,9.54687500e+00,-1.12500000e-02,2.03125000e-02
-5.44240000e-07,-2.50000000e-02,9.57187500e+00,-3.43750000e-02,1.17187500e-02
-5.43920000e-07,1.25000000e-02,9.53437500e+00,-1.18750000e-02,-6.25000000e-02
